,species,recommendation,origin,fishing gear,farming method
0,Abalone,BEST CHOICE,Worldwide,,"Outdoor flowthrough tank, Off-bottom culture, Enclosed bottom culture, Indoor flowthrough tank"
1,Abalone,BEST CHOICE,Worldwide,,Open bottom culture
2,Abalone,CERTIFIED,Australia,Hand implements,
3,Almaco jack,BEST CHOICE,Worldwide,,Indoor recirculating tanks (with wastewater treatment)
4,Almaco jack,GOOD ALTERNATIVE,Mexico,,Marine net pen
5,Almaco jack,GOOD ALTERNATIVE,United States (Hawaii),,Marine net pen
6,Almaco jack,GOOD ALTERNATIVE,Worldwide,,Indoor recirculating tanks (without wastewater treatment)
7,Buri,BEST CHOICE,Worldwide,,Indoor recirculating tanks (with wastewater treatment)
8,Anchoveta,BEST CHOICE,Peru,Purse seines,
9,Anchoveta,BEST CHOICE,Chile,Purse seines,
10,Anchoveta,BEST CHOICE,Chile,Purse seines,
11,Anchoveta,BEST CHOICE,Chile,Purse seines,
12,Anchoveta,BEST CHOICE,Peru,Purse seines,
13,Arctic char,BEST CHOICE,Canada (Nunavut),"Barriers, fences, weirs, corrals, etc.",
14,Arctic char,BEST CHOICE,Canada (Nunavut),Set gillnets,
15,Arctic char,BEST CHOICE,Worldwide,,Indoor recirculating tanks (with wastewater treatment)
16,Arctic char,BEST CHOICE,Iceland,,Outdoor flowthrough tank
17,Arctic char,CERTIFIED,Worldwide,,All production methods
18,Striped bass,BEST CHOICE,Worldwide,,Indoor recirculating tanks (with wastewater treatment)
19,Striped bass,BEST CHOICE,Mexico,,Marine net pen
20,Striped bass,GOOD ALTERNATIVE,Worldwide,,Indoor recirculating tanks (without wastewater treatment)
21,Striped bass,GOOD ALTERNATIVE,United States,Handlines and hand-operated pole-and-lines,
22,Striped bass,GOOD ALTERNATIVE,United States,Gillnets and entangling nets,
23,Bluefish,BEST CHOICE,United States,Handlines and hand-operated pole-and-lines,
24,Bluefish,GOOD ALTERNATIVE,United States,Bottom trawls,
25,Bluefish,AVOID,United States,Set gillnets,
26,Bowfin,GOOD ALTERNATIVE,United States (Louisiana),Set gillnets,
27,Gilthead bream,BEST CHOICE,Worldwide,,Indoor recirculating tanks (with wastewater treatment)
28,Gilthead bream,GOOD ALTERNATIVE,Worldwide,,Indoor recirculating tanks (without wastewater treatment)
29,Gilthead bream,AVOID,"Croatia, Cyprus, France, Greece, Italy, Malta, Portugal, Spain",,Marine net pen
30,Gilthead bream,AVOID,Egypt,,Semi-intensive pond
31,Gilthead bream,AVOID,Turkey,,Marine net pen
32,Cabezon,GOOD ALTERNATIVE,"United States (California, Oregon, Washington)",Handlines and hand-operated pole-and-lines,
33,Cabezon,GOOD ALTERNATIVE,United States (California),Handlines and hand-operated pole-and-lines,
34,Capelin,CERTIFIED,Iceland,"Purse seines, Midwater trawls",
35,Capelin,CERTIFIED,Iceland,"Purse seines, Midwater trawls",
36,Capelin,AVOID,Canada,Purse seines,
37,Capelin,AVOID,Canada,Seine nets,
38,Capelin,AVOID,Canada,"Barriers, fences, weirs, corrals, etc.",
39,Bighead carp,BEST CHOICE,United States (Illinois),Combined gillnets - trammel nets,
40,Bighead carp,BEST CHOICE,United States (Illinois),Seine nets,
41,Bighead carp,GOOD ALTERNATIVE,United States (Kentucky),"Set gillnets, Encircling gillnets",
42,Bighead carp,GOOD ALTERNATIVE,United States (Tennessee),"Set gillnets, Encircling gillnets",
43,Bighead carp,GOOD ALTERNATIVE,United States (Missouri),Combined gillnets - trammel nets,
44,Blue catfish,BEST CHOICE,United States (Virginia),Electric fishing,
45,Blue catfish,GOOD ALTERNATIVE,United States (Virginia),Set gillnets,
46,Blue catfish,GOOD ALTERNATIVE,"United States (Maryland, Virginia)",Stationary uncovered pound nets,
47,Blue catfish,GOOD ALTERNATIVE,"United States (Maryland, Virginia)",Pots,
48,Blue catfish,GOOD ALTERNATIVE,"United States (Maryland, Virginia)",Boat seines,
49,Atlantic jackknife,CERTIFIED,Netherlands,Boat dredges,
50,Atlantic surfclam,CERTIFIED,United States,Boat dredges,
51,Clams,BEST CHOICE,Worldwide,,Bottom culture
